id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
997155047929778176,296759079,,,2018-05-17 16:41:04,,Twitter Web Client,Neil Jones,ragwortfacts,Wed May 11 10:51:08 +0000 2011,4823,"Entomologist, environmentalist & nature enthusiast. (Also debunks ragwort hysteria with reason &
science. It's ecologically valuable & rarely causes problems. )",UK,False,486,477,http://t.co/bGSP5eGt0q,RT @MattEAShardlow: BREAKING NEWS - Bayer and Syngenta lose court case challenging neonicotinoid ban - in future bees must only be exposed…,[],[],"[{'screen_name': 'MattEAShardlow', 'name': 'Matt Shardlow', 'id': 2282404970, 'id_str': '2282404970', 'indices': [3, 18]}]",997046703940423680
997155021753147392,415475621,,,2018-05-17 16:40:58,,Twitter for iPhone,Eric Andrieu,EricAndrieuEU,Fri Nov 18 11:37:47 +0000 2011,7041,"Member of the European Parliament - France, Sud-Ouest - S&D Spokesman for Agriculture and Chair of the PEST Committee #Narbonne #Aude",Occitanie,True,4886,2014,https://t.co/SzsHED5BAY,RT @TheProgressives: 🐝✅ We welcome the decision of the EU Court to to validate the restrictions introduced in 2013 on the insecticides clot…,[],[],"[{'screen_name': 'TheProgressives', 'name': 'S&D Group', 'id': 19287037, 'id_str': '19287037', 'indices': [3, 19]}]",997149224730071040
997154963863298048,142446117,,,2018-05-17 16:40:44,,Twitter for iPhone,Amanda Collumbine,ACollumbine,Mon May 10 22:38:43 +0000 2010,925,"Politics, evolution, food, music, movies & Corrie. Zoology grad, Parliamentary staff and world's luckiest mum and wife.",,False,113,471,,RT @MattEAShardlow: BREAKING NEWS - Bayer and Syngenta lose court case challenging neonicotinoid ban - in future bees must only be exposed…,[],[],"[{'screen_name': 'MattEAShardlow', 'name': 'Matt Shardlow', 'id': 2282404970, 'id_str': '2282404970', 'indices': [3, 18]}]",997046703940423680
997154927536492545,3365929053,,,2018-05-17 16:40:35,,Twitter Web Client,PBWF2013,ryl5858,Wed Jul 08 13:57:42 +0000 2015,155904,Plant Based Whole Foods supporter & trying to learn gardening. Not democrat or republican.,PA,False,1336,274,,RT @itsgardningtime: #Bees Love Purple #Salvia! #flowers #purpleflowers https://t.co/F1MbCXvqwE #gardenersworld See video! https://t.co/owP…,"[{'text': 'Bees', 'indices': [21, 26]}, {'text': 'Salvia', 'indices': [39, 46]}, {'text': 'flowers', 'indices': [48, 56]}, {'text': 'purpleflowers', 'indices': [57, 71]}, {'text': 'gardenersworld', 'indices': [96, 111]}]","[{'url': 'https://t.co/F1MbCXvqwE', 'expanded_url': 'http://itsgardeningtime.com/?p=3482', 'display_url': 'itsgardeningtime.com/?p=3482', 'indices': [72, 95]}]","[{'screen_name': 'itsgardningtime', 'name': 'itsgardeningtime', 'id': 2552806368, 'id_str': '2552806368', 'indices': [3, 19]}]",997154473783918592
997154884490350592,1384851770,997150256310771712,532408038,2018-05-17 16:40:25,BolshieBear,Twitter Web Client,sue pankhurst,viewreader,Sat Apr 27 16:17:28 +0000 2013,55682,Wildlife campaigner and advocate for justice and truth,UK,False,2427,2840,,"@BolshieBear @friends_earth No, but so very rewarding.  It is exciting watching the wildlife in one's garden.  Who… https://t.co/B20GfEQRwL",[],"[{'url': 'https://t.co/B20GfEQRwL', 'expanded_url': 'https://twitter.com/i/web/status/997154884490350592', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]","[{'screen_name': 'BolshieBear', 'name': 'Bolshie Bear', 'id': 532408038, 'id_str': '532408038', 'indices': [0, 12]}, {'screen_name': 'friends_earth', 'name': 'Friends of the Earth', 'id': 20329672, 'id_str': '20329672', 'indices': [13, 27]}]",
997154609297752064,2494098080,,,2018-05-17 16:39:19,,Twitter for iPhone,Polli:Nation,LTL_Pollination,Wed May 14 12:00:27 +0000 2014,1116,Polli:Nation is being developed by LTL_Outdoors to turn UK schools into pollinator friendly habitats; empowering a nation of young activists,UK,False,882,632,https://t.co/UsU9YizNNa,RT @MattEAShardlow: BREAKING NEWS - Bayer and Syngenta lose court case challenging neonicotinoid ban - in future bees must only be exposed…,[],[],"[{'screen_name': 'MattEAShardlow', 'name': 'Matt Shardlow', 'id': 2282404970, 'id_str': '2282404970', 'indices': [3, 18]}]",997046703940423680
997154473783918592,2552806368,,,2018-05-17 16:38:47,,Tweet Old Post,itsgardeningtime,itsgardningtime,Sat Jun 07 15:32:49 +0000 2014,184240,"Gardening is our passion! It brings joy to our lives, and we intend to share our joy with the world. It's Gardening Time!",Washington DC Metro Area,False,4677,1487,http://t.co/9khQiqTcmn,#Bees Love Purple #Salvia! #flowers #purpleflowers https://t.co/F1MbCXvqwE #gardenersworld See video! https://t.co/owPQIBX2lX,"[{'text': 'Bees', 'indices': [0, 5]}, {'text': 'Salvia', 'indices': [18, 25]}, {'text': 'flowers', 'indices': [27, 35]}, {'text': 'purpleflowers', 'indices': [36, 50]}, {'text': 'gardenersworld', 'indices': [75, 90]}]","[{'url': 'https://t.co/F1MbCXvqwE', 'expanded_url': 'http://itsgardeningtime.com/?p=3482', 'display_url': 'itsgardeningtime.com/?p=3482', 'indices': [51, 74]}]",[],
997154394897633280,245450986,,,2018-05-17 16:38:28,,Instagram,Glen Warden,Glen_warden,Mon Jan 31 18:40:13 +0000 2011,1132,"My Likes are Nature, Cycling, Walking, Cars, Gardening, Photography, Fitness & a good Film. my favoured charities are #cancerresearchuk #bbcchildreninneed",Bolton,False,53,182,,My #bees are back #summer is soon going to be… https://t.co/EkdgRm0Rgb,"[{'text': 'bees', 'indices': [3, 8]}, {'text': 'summer', 'indices': [18, 25]}]","[{'url': 'https://t.co/EkdgRm0Rgb', 'expanded_url': 'https://www.instagram.com/p/Bi4qyl1lBzh/?utm_source=ig_twitter_share&igshid=1xu78hg1l3ocq', 'display_url': 'instagram.com/p/Bi4qyl1lBzh/…', 'indices': [47, 70]}]",[],
997154358314831872,67332005,,,2018-05-17 16:38:19,,Twitter for iPhone,Sean Mangion,Tamal01,Thu Aug 20 14:44:51 +0000 2009,6999,Head of Secretariat for Persons with Disability and Active Ageing @MaltaGov | Accountant | Apple fan 📱🖱| Juve fan ⚪️⚫️,Malta,False,356,543,,RT @TheProgressives: 🐝✅ We welcome the decision of the EU Court to to validate the restrictions introduced in 2013 on the insecticides clot…,[],[],"[{'screen_name': 'TheProgressives', 'name': 'S&D Group', 'id': 19287037, 'id_str': '19287037', 'indices': [3, 19]}]",997149224730071040
997154246264000512,992312003933880320,,,2018-05-17 16:37:53,,Twitter for Android,Ivana Antonovic,Ivana_Antonovic,Fri May 04 07:56:32 +0000 2018,6,,,False,5,44,,"RT @apimondiabees: 75% of the world's food crops depend at least in part on #pollination.

#WorldBeeDay is celebrated on 20 May 

#bees #ho…","[{'text': 'pollination', 'indices': [76, 88]}, {'text': 'WorldBeeDay', 'indices': [91, 103]}, {'text': 'bees', 'indices': [130, 135]}]",[],"[{'screen_name': 'apimondiabees', 'name': 'Apimondia Bees', 'id': 3233034477, 'id_str': '3233034477', 'indices': [3, 17]}]",997091232596811776
